% visibilidad del sol,nro minuto,nro mes,temperatura
0.8,628.0,12.0,29.0
0.26,96.0,8.0,8.0
0.05,1204.0,7.0,4.0
0.8,953.0,5.0,18.0
0.5,914.0,4.0,18.0
0.8,543.0,11.0,28.0
0.61,1080.0,10.0,18.0
0.94,738.0,12.0,21.0
0.58,680.0,4.0,26.0
0.92,586.0,5.0,29.0
0.08,416.0,12.0,0.0
0.61,898.0,3.0,12.0
0.71,1028.0,11.0,15.0
0.91,759.0,4.0,28.0
0.65,999.0,2.0,18.0
0.62,546.0,5.0,24.0
0.43,1021.0,4.0,15.0
0.95,697.0,2.0,21.0
0.81,564.0,5.0,21.0
0.52,933.0,10.0,16.0
0.59,759.0,5.0,22.0
0.6,853.0,2.0,25.0
0.89,636.0,11.0,21.0
0.53,967.0,12.0,20.0
0.27,238.0,1.0,5.0
0.17,1266.0,1.0,1.0
0.67,623.0,3.0,21.0
0.01,1141.0,1.0,6.0
0.4,1063.0,3.0,12.0
0.53,672.0,4.0,24.0
0.34,1401.0,1.0,3.0
0.63,866.0,3.0,14.0
0.13,188.0,1.0,7.0
0.52,1078.0,5.0,18.0
0.29,275.0,1.0,10.0
0.76,816.0,11.0,24.0
0.42,910.0,10.0,18.0
0.88,651.0,6.0,26.0
0.68,920.0,4.0,14.0
0.79,680.0,11.0,21.0
0.53,723.0,10.0,28.0
0.53,918.0,6.0,17.0
0.88,552.0,2.0,29.0
0.6,1071.0,5.0,18.0
0.72,998.0,11.0,19.0
0.63,686.0,10.0,22.0
0.53,1001.0,10.0,15.0
0.18,513.0,1.0,4.0
0.1,1170.0,8.0,4.0
0.95,735.0,12.0,24.0
0.53,836.0,12.0,25.0
0.42,878.0,11.0,17.0
0.22,1240.0,1.0,0.0
0.66,996.0,11.0,14.0
0.73,963.0,2.0,15.0
0.42,1045.0,11.0,10.0
0.62,926.0,10.0,20.0
0.53,1009.0,5.0,11.0
0.11,273.0,1.0,10.0
0.17,1109.0,1.0,3.0
0.52,781.0,4.0,22.0
0.73,891.0,11.0,12.0
0.3,475.0,1.0,4.0
0.44,895.0,10.0,20.0
0.9,649.0,12.0,21.0
0.6,1048.0,6.0,17.0
0.61,553.0,11.0,27.0
0.42,935.0,6.0,19.0
0.62,1001.0,5.0,14.0
0.89,541.0,4.0,27.0
0.52,872.0,10.0,20.0
0.32,237.0,1.0,10.0
0.38,1258.0,1.0,4.0
0.82,685.0,2.0,23.0
0.48,843.0,11.0,13.0
0.1,41.0,9.0,2.0
0.29,157.0,1.0,4.0
0.98,739.0,11.0,25.0
0.55,669.0,4.0,26.0
0.56,1030.0,12.0,11.0
0.08,369.0,1.0,0.0
0.46,1064.0,11.0,12.0
0.33,1250.0,1.0,5.0
0.15,22.0,12.0,0.0
0.74,814.0,6.0,27.0
0.01,424.0,10.0,1.0
0.63,795.0,10.0,21.0
0.76,721.0,12.0,27.0
0.72,711.0,12.0,30.0
0.37,1175.0,8.0,9.0
0.61,793.0,10.0,23.0
0.5,995.0,4.0,16.0
0.58,912.0,10.0,11.0
0.19,59.0,1.0,6.0
0.11,1303.0,8.0,5.0
0.58,656.0,12.0,21.0
0.2,485.0,1.0,6.0
0.02,336.0,1.0,6.0
0.61,639.0,2.0,28.0
0.63,823.0,5.0,26.0
0.67,732.0,12.0,21.0
0.38,178.0,10.0,7.0
0.94,805.0,4.0,29.0
0.78,1065.0,2.0,17.0
0.87,897.0,12.0,23.0
0.53,729.0,2.0,26.0
0.12,1204.0,1.0,8.0
0.89,784.0,11.0,24.0
0.67,1001.0,3.0,18.0
0.58,750.0,2.0,29.0
0.66,897.0,10.0,13.0
0.22,511.0,1.0,10.0
0.72,973.0,3.0,20.0
0.92,878.0,6.0,26.0
0.58,668.0,10.0,30.0
0.24,253.0,10.0,1.0
0.36,441.0,1.0,10.0
0.15,46.0,1.0,0.0
0.01,1343.0,11.0,9.0
0.19,340.0,1.0,1.0
0.53,895.0,10.0,19.0
0.97,673.0,6.0,22.0
0.73,563.0,4.0,29.0
0.84,609.0,11.0,24.0
0.37,373.0,1.0,5.0
0.73,666.0,12.0,23.0
